일자,중식계,석식계
2021-01-27,995.32,295.55
2021-01-28,931.32,394.81
2021-01-29,598.82,315.75
2021-02-01,1186.25,476.67
2021-02-02,1049.45,400.82
2021-02-03,1012.74,427.16
2021-02-04,950.51,442.28
2021-02-05,677.29,370.28
2021-02-08,1318.86,621.23
2021-02-09,1051.46,470.74
2021-02-10,725.92,204.96
2021-02-15,1250.07,688.5
2021-02-16,980.12,685.6
2021-02-17,1019.22,407.17
2021-02-18,880.63,509.56
2021-02-19,655.56,369.41
2021-02-22,1219.05,689.71
2021-02-23,1028.97,632.68
2021-02-24,905.19,296.29
2021-02-25,845.11,482.91
2021-02-26,610.85,318.23
2021-03-02,1108.27,655.4
2021-03-03,987.58,481.33
2021-03-04,920.65,576.43
2021-03-05,660.57,392.88
2021-03-08,1253.15,713.56
2021-03-09,1029.7,709.89
2021-03-10,1015.98,443.16
2021-03-11,917.51,544.88
2021-03-12,698.4,280.21
2021-03-15,1248.12,704.05
2021-03-16,981.44,589.25
2021-03-17,1011.1,432.83
2021-03-18,877.25,460.94
2021-03-19,645.22,270.44
2021-03-22,1216.85,625.79
2021-03-23,975.46,600.95
2021-03-24,896.84,304.94
2021-03-25,857.85,396.65
2021-03-26,577.7,321.13
2021-03-29,1186.29,616.85
2021-03-30,999.01,563.43
2021-03-31,946.71,279.49
2021-04-01,878.68,406.94
2021-04-02,631.3,277.47
2021-04-05,1194.55,604.86
2021-04-06,1034.23,585.57
2021-04-07,993.53,429.2
2021-04-08,894.64,451.55
2021-04-09,623.32,263.27
